class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
249,malamute,ig,0.5384490593112246,0.0445499655627657,0.4772332718543475,0.2571596927787219,0.526338355654762,0.0415956316808013,0.4965268424390342,0.2359311188455508,0.0192935705846866
249,malamute,saliency,0.4509138499149659,0.0254757475498962,0.4623002081082086,0.2515981222668727,0.4325928730867348,0.0255924009767722,0.4715537590644089,0.2318206116328974,0.0092535509562003
250,Siberian_husky,ig,0.5232076424319728,0.0518924942624976,0.3704165268775978,0.198234488245243,0.5132714179421769,0.0488079003238984,0.3307271860784385,0.2194914223844751,-0.0396893407991592
250,Siberian_husky,saliency,0.4454585193452381,0.0285213745179892,0.3111122440287727,0.2400069552994864,0.4289225924744897,0.0275304524515108,0.2609536796284374,0.232948670847718,-0.0501585644003353
251,dalmatian,ig,0.530241549744898,0.0536550829478575,0.4902423291734885,0.3715829400136656,0.5126092155612245,0.0476659314312869,0.4568488845298998,0.3371130034190017,-0.0333934446435887
251,dalmatian,saliency,0.4402594866071428,0.0268336309457332,0.2738553546587354,0.3234666103900296,0.4212566432823129,0.0213229804783236,0.1896664405171759,0.2684121117617442,-0.0841889141415595
252,affenpinscher,ig,0.5425053146258504,0.0584275759341173,0.7289693319209527,0.2521865226716609,0.5231858524659865,0.0582383214134199,0.7193573280290729,0.2398460402437767,-0.0096120038918797
252,affenpinscher,saliency,0.4700058460884354,0.0354410627805322,0.676991211370323,0.2815496847834052,0.4440072278911565,0.0379407672454302,0.6744358782708878,0.2726771273106242,-0.0025553330994353
253,basenji,ig,0.5291295971513607,0.0389107158489467,0.6021109253621763,0.3419214417524063,0.5147700095663265,0.0354379135196638,0.5132822161415243,0.3673768333625332,-0.0888287092206519
253,basenji,saliency,0.4467834555697279,0.026000493799661,0.5244938421981533,0.3281512773899946,0.4312642166241496,0.0225056245440689,0.3684766933720675,0.3359273700252281,-0.1560171488260857
254,pug,ig,0.5411714764030612,0.0494019017876378,0.6073290370822906,0.3278834236783591,0.5249592102465985,0.04308263960245,0.6074861116298053,0.3251489652313491,0.0001570745475146
254,pug,saliency,0.4614593962585034,0.0345778712167438,0.5554593034307618,0.3561446732332526,0.4386046449829932,0.0299669133775469,0.4773671463474602,0.3607797464320504,-0.0780921570833015
255,Leonberg,ig,0.5279342049319729,0.0212099201889287,0.2593412549875211,0.2763559613769265,0.5132967952806122,0.0226502046016967,0.280687566678971,0.271539664630871,0.0213463116914499
255,Leonberg,saliency,0.4431149022108844,0.0203256443011337,0.1924955970980227,0.2562877143993774,0.4247229751275511,0.0206247353065197,0.1873670828342437,0.2299569084690384,-0.0051285142637789
