class_id,class_name,method,filtered_sparsity_mean,filtered_sparsity_std,filtered_faithfulness_mean,filtered_faithfulness_std,baseline_sparsity_mean,baseline_sparsity_std,baseline_faithfulness_mean,baseline_faithfulness_std,mean_diff
748,purse,saliency,0.2056122448979591,0.0266334349717105,0.245290326687973,0.2429753957636771,0.2124489795918367,0.0364752744697941,0.2126004850957542,0.2134183653788706,-0.0326898415922187
749,quill,ig,0.3054081632653062,0.0602387482343216,0.4371769139813841,0.3680536634183695,0.2955102040816326,0.0456892241799321,0.3774465477163903,0.3992031282508297,-0.0597303662649937
749,quill,saliency,0.2512244897959184,0.0343251716588969,0.4893426056834869,0.3599165270794786,0.2432653061224489,0.0354573850667026,0.3708748342539184,0.3072760390735442,-0.1184677714295685
750,quilt,ig,0.2656122448979592,0.053786352158027,0.157892713388137,0.2659346812966459,0.2555102040816326,0.0444181223826679,0.1065736977523192,0.2727104616964453,-0.0513190156358177
750,quilt,saliency,0.2001020408163265,0.0241103685348675,0.1217457257739442,0.2788736757963319,0.2068367346938775,0.0282269687697928,0.0810951269550423,0.2708862781533144,-0.0406505988189019
751,racer,ig,0.2758163265306122,0.0483635794623288,0.2590157212532358,0.2866680327438182,0.2648979591836735,0.0487541580793798,0.2159950476657468,0.2839934570722756,-0.043020673587489
751,racer,saliency,0.211938775510204,0.0221738708792788,0.1993564952228916,0.2866892651745362,0.2179591836734693,0.0282975208742772,0.140373884277651,0.2353388592059229,-0.0589826109452405
752,racket,ig,0.2598979591836734,0.0462506120719993,0.3807755511368305,0.339914523214423,0.2593877551020409,0.048103993275987,0.2981935986988719,0.2913104220446819,-0.0825819524379585
752,racket,saliency,0.226734693877551,0.0365807431651174,0.3394861015683272,0.2987534981520545,0.2414285714285714,0.0441665848086647,0.246921301099037,0.2619082779051904,-0.0925648004692902
753,radiator,ig,0.2589795918367347,0.0373469387755102,0.2906691737712754,0.2971512267128135,0.2532653061224489,0.040927908704865,0.2577314912428846,0.2948187973513533,-0.0329376825283907
753,radiator,saliency,0.2063265306122448,0.0292585026105303,0.3073067890946004,0.2999287203084017,0.2068367346938775,0.0356151685835705,0.225328915072605,0.2521259030752484,-0.0819778740219953
754,radio,ig,0.2438775510204081,0.0354509240123269,0.2661363137606531,0.2462905925192403,0.2446938775510203,0.0351553937201935,0.21931740202941,0.2194116521683592,-0.0468189117312431
754,radio,saliency,0.2097959183673469,0.020245268265211,0.2679749545734375,0.2558586739175706,0.2151020408163265,0.0277273270389165,0.1564359202142805,0.187784185521819,-0.111539034359157
755,radio_telescope,ig,0.2772448979591836,0.0518866263196707,0.2669961998262443,0.3175444426107219,0.2753061224489795,0.0594904085101655,0.2134464906243374,0.2776500570997224,-0.0535497092019068
755,radio_telescope,saliency,0.2301020408163265,0.0377033567078414,0.280315671122662,0.3235030757285975,0.2315306122448979,0.0483364449634378,0.194008794790061,0.2792796175255744,-0.0863068763326009
756,rain_barrel,ig,0.2855102040816326,0.0394537883615329,0.2334908108925447,0.3280940645387599,0.301734693877551,0.0507852745057289,0.2326730727311223,0.3002246731649096,-0.0008177381614223
756,rain_barrel,saliency,0.2463265306122449,0.0381807228432706,0.2380809543933719,0.293584426836896,0.2660204081632653,0.0458163265306122,0.275975142242969,0.312644121380348,0.037894187849597
757,recreational_vehicle,ig,0.2588775510204081,0.0537999015279287,0.1620749130938202,0.1959664808835962,0.2548979591836735,0.0439008006746466,0.1314304439350962,0.2089532147779346,-0.0306444691587239
757,recreational_vehicle,saliency,0.2215306122448979,0.0321240631806644,0.1458291677315719,0.2255041157355888,0.2228571428571428,0.0294231646084652,0.1087166363745927,0.16259767430579,-0.0371125313569791
